Maschine;Vor;Nachher;Gewicht;Zaehler;Strom;Programm;Temperatur;Drehzahl;Kurz;Vorwaesche;Einweichen;WasserPlus;Sonstiges
rechts;67,7;63,2;4,5;0;1,326;Baumwolle;60;1400;0;0;0;0;-
rechts;70,3;66,3;4;1,326;1,277;Baumwolle;40;1400;0;1;0;0;-
rechts;68;66;2;2,603;0,524;Baumwolle;40;1400;1;0;0;0;-
rechts;65,9;64;1,9;3,127;0,536;Pflegeleicht;30;1200;0;0;0;0;-
rechts;66;62,8;3,2;3,663;0,545;Baumwolle;30;1400;0;0;0;0;Danach: 4,206
rechts;67,3;62,3;5;4,208;1,053;Baumwolle;30;1400;1;0;0;1;
rechts;73,8;69,4;4,4;5,261;1,568;Baumwolle;60;1400;0;0;0;0;-
rechts;80,5;78,6;1,9;6,829;0,851;Baumwolle;40;1200;0;0;0;0;-
rechts;61;58,6;2,4;7,68;1,377;Pflegeleicht;30;1200;0;0;0;0;-
rechts;60;57;3;9,057;0,531;Pflegeleicht;30;1200;0;0;0;0;-
rechts;69,4;67,3;2,1;9,588;1,052;Baumwolle;40;1200;1;0;0;0;-
rechts;75,6;71,2;4,4;10,64;0,67;Baumwolle;40;1400;0;0;0;0;-
rechts;70,7;66,6;4,1;11,31;0,29;Pflegeleicht;20;1200;1;0;0;0;-
rechts;79,4;73,3;6,1;11,6;1,91;Baumwolle;30;1400;1;0;0;0;-
rechts;83,5;78;5,5;13,51;0,79;Baumwolle;40;1400;0;0;0;0;-
rechts;71,9;66,6;5,3;14,3;0,51;Pflegeleicht;30;1200;0;0;0;0;-
rechts;93,7;88,1;5,6;14,81;0,49;Pflegeleicht;30;1200;0;0;0;0;-
rechts;50,8;47,3;3,5;15,3;0,97;Baumwolle;40;1400;0;0;0;0;-
rechts;;;0;16,27;0,63;Baumwolle;30;1200;0;0;0;0;-
rechts;68,2;66,3;1,9;16,9;1,32;Baumwolle;60;1200;0;0;0;0;-
rechts;;;0;18,22;1,25;Baumwolle;60;1400;0;0;0;0;-
rechts;70,4;67,1;3,3;19,47;0,86;Pflegeleicht;20;1200;0;0;0;0;-
rechts;59,5;55,8;3,7;20,33;1,89;Automatic;40;1200;0;0;0;0;-
rechts;;;0;22,22;1,33;Pflegeleicht;30;1200;0;0;0;0;Ende
rechts;;;0;23,55;-23,55;;;;0;0;0;0;Ende
links;72,6;68,6;4;0;0,6;Baumwolle;40;1400;0;0;0;0;-
links;67,8;62,6;5,2;0,6;1,4;Baumwolle;60;1400;0;0;0;0;Danach: 1,9
links;65;60,8;4,2;2;0,5;Automatic;40;1200;0;0;0;0;einmal extra Schleudern
links;72,8;70,7;2,1;2,5;1;Baumwolle;60;1400;0;0;0;0;einmal extra Schleudern
links;69,8;67;2,8;3,5;0,3;Pflegeleicht;30;1200;0;0;0;0;Danach: 3,8
links;49,8;46,7;3,1;3,8;0,4;Baumwolle;40;1400;1;0;0;0;-
links;70,7;65,9;4,8;4,2;1,5;Baumwolle;40;1400;0;0;0;1;einmal extra Schleudern
links;62,3;60,9;1,4;5,7;0,8;Pflegeleicht;40;1400;0;0;0;0;-
links;;;0;6,5;2,1;Pflegeleicht;40;1200;1;0;0;0;-
links;78,1;73,9;4,2;8,6;1,3;Baumwolle;60;1400;0;0;0;0;-
links;87,8;83,5;4,3;9,9;1,4;Baumwolle;60;1400;0;0;0;0;-
links;65,8;62,9;2,9;11,3;0,8;Baumwolle;60;1400;0;0;0;0;-
links;79,2;75,9;3,3;12,1;1,6;Baumwolle;60;1400;0;0;0;0;-
links;72;66,3;5,7;13,7;0,6;Baumwolle;40;1200;0;0;0;0;-
links;67,3;63,3;4;14,3;0,6;Pflegeleicht;40;1200;0;0;0;0;-
links;73,3;71,7;1,6;14,9;0,4;Baumwolle;40;1400;0;0;0;0;-
links;;;0;15,3;0,5;Automatic;40;1200;0;0;0;0;-
links;69,2;66,1;3,1;15,8;1,1;Pflegeleicht;40;1200;0;0;0;0;-
links;60,3;55,7;4,6;16,9;0,5;Baumwolle;30;1400;0;0;0;0;-
links;;;;17,4;;;;;;;;;Ende
